url,status,bodySize,cacheControl,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6971XBILLBOARDHOME01/01_LOTTO_6aus49_171213.swf?clicktag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/96064133/Middle4/qc/ON01X6971XBILLBOARDHOME01/ON01X6971XBILLBOARDHOME01_01.html/53454a7a446c4c373373494142705a61?http://ad3.adfarm1.adition.com/redi?sid=2556775%26kid=573428%26bid=2383778&clicktarget=_blank,200,75154,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON01X6978XLOGOBOX/logo-monster-neu.jpg,200,9175,21600,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON02X20005XX1/W_RB_1_230_230.swf?clicktag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/330118380/RightWis/qc/ON02X20005XX1/ON02X20005XX1_04.html/53454a7a446c4c373373494142705a61?http://www.walbusch.de/walbusch-de/pages/page.jsf?pageid=de_rainbow3_fs14%26pid=de_basp_rainbow%26wid=de_basp_rainbow%26campaign=de_ba_c/sp/st/rainbow/rainbow1&clicktarget=_blank,200,40098,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON02X20005XX1/W_RB_1_230_230.swf?clicktag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/995271924/RightWis/qc/ON02X20005XX1/ON02X20005XX1_04.html/53454a7a446c4c373373494142705a61?http://www.walbusch.de/walbusch-de/pages/page.jsf?pageid=de_rainbow3_fs14%26pid=de_basp_rainbow%26wid=de_basp_rainbow%26campaign=de_ba_c/sp/st/rainbow/rainbow1&clicktarget=_blank,200,40098,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON02XX6993XX4/logobox_140x40_URL.gif,200,2163,259200,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON05XX6993XX3/071_230x230.gif,200,21916,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_17.html?url=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/752291113/x21/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_16.html/53454a7a446c4c373373494142705a61?&path=http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/,200,2145,21600,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_17.html?url=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/752291113/x21/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_16.html/53454a7a446c4c373373494142705a61?&path=http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/,200,2145,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_29.html?url=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/1469076547/x21/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_28.html/53454a7a446c4c373373494142705a61?&path=http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/,200,1857,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/VB_mm_02_2014_230x112_Digital.swf?clickTag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/1469076547/x21/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_28.html/53454a7a446c4c373373494142705a61?http://manager-magazin-ausgabe.de/MMD/201305-ma/?bannerId=MDSPONVBMA&clicktarget=_blank,200,13679,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON23XX4454XX2013X21/VB_SPG_01_2014_230x112_Tchibo.swf?clickTag=http://adserv.quality-channel.de/RealMedia/ads/click_lx.ads/www.spiegel.de/homepage/center/L30/752291113/x21/qc/ON23XX4454XX2013X21/ON23XX4454XX2013X21_16.html/53454a7a446c4c373373494142705a61?http://abo.spiegel.de/de/p/bestellung/start/jahresabo_mit_zugabe_tchibo_geschenkkarte_im_wert_von__10_-38190-57263?b=SGVTBSPON%26utm_source=spon%26utm_medium=banner%26utm_content=tchibo%26utm_campaign=vertriebsboxspg&clicktarget=_blank,200,56187,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/ON52X5959XLOGOBOX/verivox-neu.png,200,6921,0,,
http://adserv.quality-channel.de/RealMedia/ads/Creatives/qc/sp-zaehler-011/zaehler.gif,200,43,259200,,
http://c.spiegel.de/nm_empty.gif?url=http%3A//www.spiegel.de/&referrer=&sp.site=1&sp.atyp=1000&sp.szw=1001&sp.aid=18&sp.channel=18&sp.be=homepage/center,200,43,0,,
