Bins,Actual Proportions
297000,0.000215889
297900,0.000215889
298800,0.000431779
299700,0
300600,0
301500,0.000647668
302400,0.000647668
303300,0
304200,0.000215889
305100,0.000431779
306000,0.000215889
306900,0.001727116
307800,0.000215889
308700,0.000431779
309600,0
310500,0
311400,0.000215889
312300,0
313200,0.000215889
314100,0.000431779
315000,0.000215889
315900,0.000431779
316800,0.000215889
317700,0.000431779
318600,0.000215889
319500,0
320400,0.000215889
321300,0.000215889
322200,0.000215889
323100,0.000431779
324000,0
324900,0.000215889
325800,0
326700,0
327600,0.000431779
328500,0.000647668
329400,0.000215889
330300,0.000431779
331200,0.000215889
332100,0.000215889
333000,0
333900,0
334800,0.000215889
335700,0.000215889
336600,0.000431779
337500,0.000215889
338400,0.000431779
339300,0.000431779
340200,0.000215889
341100,0.000215889
342000,0.000215889
342900,0.000431779
343800,0
344700,0
345600,0.000215889
346500,0
347400,0.000215889
348300,0.000215889
349200,0
350100,0.000215889
351000,0.000647668
351900,0.000431779
352800,0
353700,0.000431779
354600,0
355500,0
356400,0
357300,0.000215889
358200,0
359100,0.000431779
360000,0.000431779
360900,0.000215889
361800,0.000215889
362700,0
363600,0.000863558
364500,0.000215889
365400,0.000215889
366300,0.000215889
367200,0.000215889
368100,0.000215889
369000,0
369900,0
370800,0.000215889
371700,0.000431779
372600,0.000215889
373500,0
374400,0
375300,0
376200,0.000431779
377100,0
378000,0.000431779
378900,0
379800,0
380700,0.000215889
381600,0.000431779
382500,0.000215889
383400,0
384300,0
385200,0.000215889
386100,0.000215889
387000,0.000431779
387900,0.000215889
388800,0.000647668
389700,0.000215889
390600,0.000431779
391500,0.000431779
392400,0.000647668
393300,0
394200,0
395100,0
396000,0
396900,0.000431779
397800,0.000215889
398700,0
399600,0.000431779
400500,0.000215889
401400,0
402300,0.000215889
403200,0.000863558
404100,0.000647668
405000,0.000647668
405900,0
406800,0.000215889
407700,0
408600,0.000431779
409500,0.000431779
410400,0.000215889
411300,0.000215889
412200,0.000215889
413100,0.000215889
414000,0
414900,0.000215889
415800,0
416700,0.000215889
417600,0
418500,0.000215889
419400,0.000215889
420300,0
421200,0
422100,0
423000,0.000215889
423900,0.000215889
424800,0.000431779
425700,0.000431779
426600,0.000215889
427500,0
428400,0
429300,0.000431779
430200,0.000215889
431100,0
432000,0.000431779
432900,0.000215889
433800,0
434700,0
435600,0.000215889
436500,0
437400,0.000431779
438300,0.000647668
439200,0
440100,0.000647668
441000,0
441900,0.000215889
442800,0.000215889
443700,0
444600,0
445500,0.000215889
446400,0.000863558
447300,0
448200,0.000431779
449100,0
450000,0.000215889
450900,0.000431779
451800,0
452700,0.000215889
453600,0.000647668
454500,0.000215889
455400,0.000431779
456300,0.000215889
457200,0.000215889
458100,0
459000,0.000431779
459900,0.000215889
460800,0
461700,0.000215889
462600,0.000431779
463500,0
464400,0
465300,0.000431779
466200,0
467100,0.000863558
468000,0
468900,0
469800,0.000215889
470700,0
471600,0
472500,0.001079447
473400,0.000431779
474300,0
475200,0.000215889
476100,0
477000,0
477900,0.000647668
478800,0
479700,0
480600,0.000215889
481500,0
482400,0
483300,0.000431779
484200,0.000215889
485100,0.000215889
486000,0.000431779
486900,0.000215889
487800,0
488700,0
489600,0.000215889
490500,0.000215889
491400,0
492300,0
493200,0
494100,0
495000,0.000215889
495900,0
496800,0
497700,0.000215889
498600,0.000215889
499500,0
500400,0
501300,0
502200,0.000647668
503100,0
504000,0
504900,0.000215889
505800,0
506700,0
507600,0
508500,0
509400,0
510300,0.000215889
511200,0.000431779
512100,0
513000,0
513900,0.000215889
514800,0.000431779
515700,0
516600,0
517500,0
518400,0.000647668
519300,0.000431779
520200,0.000431779
521100,0
522000,0
522900,0.000215889
523800,0
524700,0.000431779
525600,0
526500,0
527400,0
528300,0.000215889
529200,0.000215889
530100,0.000215889
531000,0.000215889
531900,0
532800,0
533700,0.000215889
534600,0
535500,0
536400,0
537300,0.000863558
538200,0
539100,0
540000,0
540900,0
541800,0.000215889
542700,0
543600,0.000215889
544500,0.000215889
545400,0.000215889
546300,0
547200,0.000215889
548100,0.000647668
549000,0.000215889
549900,0.000215889
550800,0
551700,0
552600,0
553500,0.000215889
554400,0.000215889
555300,0
556200,0
557100,0
558000,0.000215889
558900,0.000431779
559800,0.000647668
560700,0
561600,0.000215889
562500,0
563400,0
564300,0
565200,0.000215889
566100,0.000215889
567000,0
567900,0
568800,0
569700,0.000215889
570600,0
571500,0.000215889
572400,0
573300,0
574200,0
575100,0
576000,0
576900,0
577800,0
578700,0
579600,0
580500,0
581400,0
582300,0
583200,0.000215889
584100,0
585000,0
585900,0
586800,0
587700,0
588600,0.000215889
589500,0
590400,0
591300,0
592200,0.000215889
593100,0
594000,0
