#Time	June	Oct	Mar
49036	0.777347312	0.774828005	0.767299626
49048	0.77734799	0.774831024	0.767315667
49053	0.777349022	0.774848144	0.767316975
49058	0.777350111	0.774853049	0.76731701
49068	0.777356912	0.774857136	0.767318208
49082	0.777357125	0.774858936	0.767372465
49087	0.777366823	0.774859045	0.767373032
49112	0.777367267	0.774860052	0.767380622
49130	0.777368118	0.774863194	0.767396484
49148	0.777368218	0.774877591	0.767407733
49151	0.777368763	0.774881917	0.767415559
49166	0.777369092	0.774882279	0.767416707
49168	0.777369117	0.774882949	0.767417361
49177	0.777369617	0.774889237	0.767455033
49180	0.777369703	0.774899514	0.767458687
49185	0.77737058	0.774923664	0.76745951
49209	0.777370657	0.774925252	0.767460278
49211	0.777370699	0.774927168	0.767462713
49225	0.777371116	0.774929884	0.767469179
49231	0.777371993	0.774930657	0.767469676
49238	0.777373129	0.774932323	0.767476119
49242	0.777373755	0.774932667	0.767489678
49258	0.777374487	0.774948993	0.767491396
49266	0.77737506	0.774949306	0.767492709
49273	0.777375699	0.774957696	0.76750772
49277	0.777376389	0.774966397	0.767516665
49283	0.777377057	0.774992052	0.767531241
49327	0.77738056	0.774992398	0.767534364
49342	0.777380636	0.774992854	0.767535646
49347	0.777381447	0.775010733	0.767539243
49349	0.777411273	0.775012247	0.76756329
49351	0.777412256	0.775012333	0.767566471
49365	0.777413281	0.775012652	0.767572205
49371	0.777413315	0.775015428	0.767578311
49376	0.777413554	0.775015701	0.767583999
49379	0.777414148	0.775024887	0.767584126
49390	0.777415068	0.775024903	0.767584156
49396	0.777420207	0.775025243	0.767586819
49407	0.777420691	0.77502785	0.76759909
49417	0.777420771	0.77502827	0.767606049
49422	0.777421366	0.775089872	0.767606718
49424	0.777423427	0.775246755	0.767607959
49425	0.777423583	0.775247218	0.767647411
49435	0.777423791	0.775247895	0.767651
49437	0.777424079	0.775248511	0.767669965
49442	0.777424803	0.775251431	0.767670631
49443	0.777425685	0.775269042	0.767674269
49444	0.777426359	0.775269061	0.767714084
49516	0.777426395	0.775270277	0.767714391
49538	0.777426562	0.77527032	0.767715572
