expAges,June 15 2013,October 15 2013,March 15 2014
188100,1.52787E-05,1.51796E-05,0.000131867
189000,1.52787E-05,2.02394E-05,4.05745E-05
189900,4.07432E-05,2.02394E-05,2.53591E-05
190800,2.54645E-05,1.01197E-05,0.000238375
191700,2.03716E-05,2.02394E-05,2.53591E-05
192600,3.05574E-05,1.51796E-05,1.01436E-05
193500,1.52787E-05,2.52993E-05,2.02873E-05
194400,5.09289E-06,2.52993E-05,0
195300,5.09289E-06,1.51796E-05,5.07182E-05
196200,1.01858E-05,1.51796E-05,3.55027E-05
197100,5.09289E-06,1.51796E-05,1.52155E-05
198000,1.01858E-05,1.01197E-05,2.02873E-05
198900,1.52787E-05,5.05986E-05,2.02873E-05
199800,1.01858E-05,1.51796E-05,5.07182E-06
200700,0.000178251,0.000166975,0.000152155
201600,2.03716E-05,3.03591E-05,2.53591E-05
202500,1.01858E-05,1.01197E-05,3.04309E-05
203400,2.54645E-05,5.05986E-06,2.53591E-05
204300,1.01858E-05,5.05986E-06,1.01436E-05
205200,1.01858E-05,2.02394E-05,1.52155E-05
206100,5.09289E-06,5.05986E-06,1.01436E-05
207000,2.03716E-05,1.01197E-05,6.59336E-05
207900,2.03716E-05,5.05986E-06,1.52155E-05
208800,0.000707912,1.01197E-05,0.000522397
209700,1.01858E-05,1.51796E-05,3.04309E-05
210600,3.05574E-05,1.51796E-05,2.02873E-05
211500,1.52787E-05,3.03591E-05,5.07182E-06
212400,3.05574E-05,4.55387E-05,3.04309E-05
213300,5.09289E-06,4.55387E-05,4.05745E-05
214200,1.01858E-05,4.04789E-05,3.55027E-05
215100,1.52787E-05,2.02394E-05,4.05745E-05
216000,8.14863E-05,7.58979E-05,0.000273878
216900,2.54645E-05,5.05986E-06,2.53591E-05
217800,4.5836E-05,1.51796E-05,2.53591E-05
218700,2.54645E-05,1.01197E-05,2.53591E-05
219600,2.03716E-05,1.01197E-05,1.52155E-05
220500,1.52787E-05,2.52993E-05,2.02873E-05
221400,1.01858E-05,3.5419E-05,0
222300,1.01858E-05,4.04789E-05,1.01436E-05
223200,5.09289E-06,3.5419E-05,5.07182E-06
224100,1.52787E-05,3.03591E-05,1.52155E-05
225000,1.01858E-05,5.05986E-06,3.55027E-05
225900,1.52787E-05,3.5419E-05,2.02873E-05
226800,2.54645E-05,1.51796E-05,1.52155E-05
227700,4.07432E-05,3.5419E-05,1.52155E-05
228600,2.54645E-05,2.02394E-05,1.01436E-05
229500,1.01858E-05,4.04789E-05,3.55027E-05
230400,2.54645E-05,3.03591E-05,2.02873E-05
231300,1.52787E-05,1.51796E-05,1.01436E-05
232200,2.03716E-05,5.05986E-06,5.07182E-06
233100,1.01858E-05,1.01197E-05,2.53591E-05
234000,1.52787E-05,1.01197E-05,1.01436E-05
234900,5.09289E-06,1.51796E-05,0.000187657
235800,5.09289E-06,2.02394E-05,5.07182E-05
236700,1.01858E-05,4.55387E-05,2.53591E-05
237600,3.05574E-05,2.52993E-05,2.02873E-05
238500,1.01858E-05,2.02394E-05,4.56464E-05
239400,0,0.000101197,1.52155E-05
240300,2.03716E-05,5.05986E-05,1.01436E-05
241200,0,3.5419E-05,3.04309E-05
242100,5.09289E-06,5.56584E-05,2.53591E-05
243000,1.01858E-05,3.03591E-05,2.02873E-05
243900,1.01858E-05,2.02394E-05,1.01436E-05
244800,1.52787E-05,2.02394E-05,1.01436E-05
245700,3.56503E-05,3.5419E-05,2.02873E-05
246600,3.05574E-05,3.03591E-05,2.02873E-05
247500,5.09289E-06,2.52993E-05,1.52155E-05
248400,1.01858E-05,1.51796E-05,4.05745E-05
249300,1.52787E-05,1.01197E-05,2.02873E-05
250200,3.56503E-05,2.02394E-05,0.000268806
251100,3.56503E-05,1.01197E-05,1.01436E-05
