# date, startedDateTime,TTFB,renderStart,onContentLoaded,onLoad,fullyLoaded,visualComplete,PageSpeed,SpeedIndex,rank,reqTotal,reqHtml,reqJS,reqCSS,reqImg,reqGif,reqJpg,reqPng,reqFont,reqFlash,reqJson,reqOther,bytesTotal,bytesHtml,bytesJS,bytesCSS,bytesImg,bytesGif,bytesJpg,bytesPng,bytesFont,bytesFlash,bytesJson,bytesOther,bytesHtmlDoc,numDomains,maxDomainReqs,numRedirects,numErrors,numGlibs,numHttps,numCompressed,numDomElements,maxageNull,maxage0,maxage1,maxage30,maxage365,maxageMore
2011-05-16.csv,3.768229568,3.185617515,3.043320168,0,3.462562331,3.493569336,3.529198688,0,3.523280992,0,3.33404373,3.535128114,3.241905716,3.370115661,3.090475447,3.083328981,2.193653992,3.157703134,0.021053397,0,0,2.829700193,3.333483347,2.964747046,3.187421153,3.172537879,2.96098165,2.407983931,2.434158194,3.048759529,0.021048627,0,0,2.026057784,3.028113733,3.491632117,3.43226193,3.201514598,0.021053397,1.038648887,1.47788638,3.328072958,0,0,3.343397414,2.601535403,2.336861147,2.392682982,2.34273342
2011-06-01.csv,3.768229568,3.06645563,3.227810361,0,3.447325736,3.477041704,3.480105684,0,3.532446741,0,3.340078518,3.575124091,3.254589967,3.366313508,3.077162133,2.935079476,2.235083537,3.103660113,0.021053397,0,0,2.856156865,3.347870846,2.965296686,3.249687957,3.160048335,2.949260883,2.403755685,2.33887996,3.038929492,0.021048627,0,0,1.90928996,3.038123809,3.507138047,3.372214847,3.292203899,0.699450397,1.038648887,1.241618205,3.378703873,0,0,3.355107868,2.583799207,2.193076647,2.452455774,2.300422855
2011-06-15.csv,3.768229568,3.177524441,3.099836016,0,3.423816593,3.458903624,3.462667296,0,3.447462031,0,3.304572318,3.633892712,3.212019394,3.337604419,3.055866678,3.023500351,2.126123432,3.116307083,0.021053397,0,0,2.899936263,3.288914361,2.886332285,3.173594499,3.157119564,2.935773285,2.497042133,2.20553762,3.071007488,0.021048627,0,0,2.045251778,2.984085247,3.531290756,3.323785425,3.425086006,1.096287778,1.038648887,1.241618205,3.359223323,0,0,3.361614705,2.662265506,2.115499455,2.48504514,2.277297906
2011-07-01.csv,3.768229568,3.352662722,3.206740323,0,3.389218544,3.427191487,3.453934846,0,3.508569379,0,3.318524057,3.612315109,3.263149695,3.368418944,3.041960116,2.994121321,2.10594683,3.121397892,0.021053397,0,0,2.882901535,3.314618175,2.837436653,3.231717797,3.074583911,2.922165104,2.613931832,2.252628472,3.065597829,0.021048627,0,0,2.02762438,2.92584559,3.534728235,3.345118006,3.427909299,0.021053397,1.038648887,1.183407527,3.390782795,0,0,3.359643358,2.573578614,2.164384012,2.604215681,2.181153329
2011-07-15.csv,3.768229568,3.509828908,3.136783071,0,3.386275047,3.421184487,3.424586037,0,3.462875734,0,3.293538903,3.612315109,3.251619101,3.378265811,3.022580494,2.991185242,2.116061473,3.09159147,0.021053397,0,0,2.878269703,3.284165095,2.822829918,3.209808661,3.032456543,2.903824149,2.57816981,2.238001962,3.009053717,0.021048627,0,0,1.997240558,2.917807112,3.537130308,3.321456096,3.427909299,0.021053397,1.038648887,1.195001982,3.426006674,0,0,3.331881199,2.567410706,2.14425154,2.558443796,2.165651649
2011-08-01.csv,3.768229568,3.757063866,3.246779182,0,3.375881692,3.370962939,3.447437593,0,3.491729983,0,3.277019657,3.546998892,3.298809146,3.389184654,2.967430413,2.88466419,2.180657929,3.020176759,0.021053397,0,0,2.935870098,3.2795216,2.843388509,3.22709989,3.046125563,2.874682691,2.452002125,2.317941287,2.965776776,0.021048627,0,0,2.167745731,2.929094892,3.542870635,3.219146068,3.395076551,0,1.038648887,1.183407527,3.467581142,0,0,3.344684645,2.302392715,2.205801407,2.595143805,2.25088531
2011-08-15.csv,3.768229568,3.75592745,3.311238532,0,3.430440712,3.422351328,3.442892333,0,3.522227708,0,3.300452998,3.545753967,3.302057817,3.332776904,2.996644246,2.893054378,2.160719564,3.045529009,0.021053397,0,0,2.964044761,3.302050107,2.946156162,3.288294356,2.984865262,2.90443821,2.572362719,2.235476736,2.962261256,0.021048627,0,0,2.181344577,2.952167953,3.537372913,3.257203982,3.400653206,0,1.038648887,1.195001982,3.478140183,0,0,3.363490899,2.473065352,2.2277672,2.538292494,2.211822319
2011-09-01.csv,3.768229566,3.756045019,3.216358183,0,3.210431483,3.239084475,3.326255383,0,3.470982309,0,3.344796654,3.546801848,3.307049286,3.387935645,3.029888591,2.892008673,2.194999013,3.052624153,0.021053397,0,0,2.866311861,3.292855349,2.768353565,3.256021693,3.089713789,2.894404224,2.338129169,2.30630523,2.967313219,0.021048627,0,0,1.8436598,2.869472813,3.559023353,3.363539646,3.431572726,0,1.038648887,1.384321999,3.433816331,0,0,3.373497505,2.421603736,2.21152059,2.654973976,2.2960537
2011-09-15.csv,3.768229568,0,3.20913831,0,3.386465362,3.420979623,3.519703812,0,3.540143185,0,3.337649585,3.565066034,3.295740939,3.357578449,3.016033897,2.916688823,2.114410094,3.053970497,0.021053397,0,0,2.943890425,3.24510916,2.667867921,3.233785704,2.933218561,2.884999322,2.537792691,2.184433334,2.939228791,0.021048627,0,0,2.039973704,3.024671323,3.555762487,3.349588339,3.448760552,0,1.038648887,1.467460905,3.46560596,0,0,3.387399102,2.506211209,2.175126175,2.629123989,2.253698971
2011-10-01.csv,3.768229568,0,3.33927306,0,3.515175368,3.512004257,3.533219288,0,3.581554195,0,3.369481614,3.59391257,3.335039056,3.369171708,3.102476827,3.032397215,2.241870033,3.163439402,0.021053397,0,0,2.964319545,3.254614124,2.691632701,3.212812198,2.952621823,2.948376931,2.729510694,2.264377408,3.046747912,0.021048627,0,0,2.065447641,3.027004071,3.576952119,3.366763558,3.485979785,0.021053397,0.951101619,1.609441746,3.464121719,0,0,3.482296169,2.53524023,2.203566765,2.625229549,2.212817661
2011-10-15.csv,3.768229568,0,3.428558548,0,3.404432726,3.401944136,3.568080416,0,3.613829872,0,3.36497074,3.588266,3.361529101,3.391590242,3.107725663,2.97465644,2.260633978,3.18994791,0,0,0,3.007100995,3.208146909,2.780654793,3.223094139,2.975755973,2.872380902,2.621451182,2.206095744,3.064584935,0,0,0,2.034214109,3.052481933,3.561042799,3.376951632,3.467283516,0.021053397,0.951101619,1.62216148,3.48548661,0,0,3.460694118,2.578958242,2.193014482,2.65334061,2.312626409
2011-11-01.csv,3.768229568,0,3.261925372,0,3.511025577,3.523726428,3.547139175,0,3.53444937,3.534020815,3.362620063,3.55455575,3.317478801,3.389900514,3.128227161,3.01421451,2.37091538,3.172942938,0.699450397,0,0,3.016576433,3.262305853,2.799987704,3.140496129,2.934039115,2.956963021,2.620212186,2.329695603,3.011090432,0.50451004,0,0,2.167210688,3.039567226,3.563861408,3.311733357,3.457178866,0.021053397,0.951101619,1.487962321,3.453890405,0,0,3.4944773,2.572051321,2.206990938,2.749287585,2.211049466
2011-11-15.csv,3.768229568,0,3.362741606,0,3.494499922,3.496444091,3.53964661,0,3.580059754,0,3.35105605,3.60557895,3.302696149,3.351717039,3.113669203,2.945129766,2.39867689,3.12563044,0.699450397,0,0,3.072454401,3.28039047,2.806815495,3.090430996,2.822919653,3.029044783,2.609636136,2.375097849,3.055155567,0.50451004,0,0,2.063199091,3.11807065,3.565670307,3.290128655,3.457178866,1.377848543,0.951101619,1.509033854,3.462974286,0,0,3.485450504,2.535689487,2.228930165,2.770479138,2.207621984
2011-12-01.csv,3.768229568,0,3.200732609,0,3.405747051,3.418923163,3.440390379,0,3.460733987,3.534020815,3.349536106,3.540604904,3.271091432,3.360721357,3.128191515,2.957095929,2.410191088,3.128086684,0.021053397,0,0,2.976332004,3.295473316,2.808342492,3.201344838,3.021852069,3.041715994,2.578020016,2.393958281,3.082779414,0.021048627,0,0,2.074034913,3.006245341,3.559860962,3.319295985,3.432082593,0,0.951101619,1.637673855,3.410204839,0,0,3.251319417,2.658231047,2.102557476,2.741170295,2.290823524
